Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743513972722,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,13.043478012084961,6.6666669845581055,8.69565200805664,6.5217390060424805,6.6666669845581055,6.6666669845581055,6.5217390060424805,13.636363983154297,6.5217390060424805,6.5217390060424805,8.88888931274414,8.69565200805664,5966.1439208984375,40770.98059082031,34127.57305908203,1471.72021484375,16565350400,4294963200,2737451008,897024
199,1743513972723,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,13.043478012084961,6.6666669845581055,8.69565200805664,6.5217390060424805,6.6666669845581055,6.6666669845581055,6.5217390060424805,13.636363983154297,6.5217390060424805,6.5217390060424805,8.88888931274414,8.69565200805664,5966.1439208984375,40770.98059082031,34127.57482910156,1471.72021484375,16565350400,4294963200,2737451008,897024
199,1743513972923,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,45,15.000000953674316,0,0,0,14.285715103149414,5,33.333335876464844,0,4.761904716491699,23.809524536132813,0,5966.3128662109375,40775.647033691406,34132.051330566406,1471.7244262695313,16565350400,4294963200,2821939200,897024
200,1743513973123,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,33.333335876464844,19.047618865966797,5,75,10.526315689086914,10.526315689086914,10,21.052631378173828,19.047618865966797,40,25,35,5966.566467285156,40783.22424316406,34139.20245361328,1471.8416748046875,16565350400,4294963200,2937470976,897024
200,1743513973323,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,33.333335876464844,25,20,36.842105865478516,23.809524536132813,15.000000953674316,21.052631378173828,20,65,23.809524536132813,42.85714340209961,21.052631378173828,5966.904296875,40790.750732421875,34146.255126953125,1472.0206909179688,16565350400,4294963200,3069599744,897024
199,1743513973523,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,11.111111640930176,10,20,15.000000953674316,9.523809432983398,14.285715103149414,15.000000953674316,15.789472579956055,26.3157901763916,35,15.789472579956055,14.285715103149414,5967.1807861328125,40794.612243652344,34149.74597167969,1472.1398315429688,16565350400,4294963200,3111489536,897024
200,1743513973723,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,4.761904716491699,0,0,14.285715103149414,0,0,9.523809432983398,14.285715103149414,5,0,0,5,5967.338439941406,40794.95178222656,34149.914978027344,1472.1743774414063,16565350400,4294963200,3111489536,897024
200,1743513973924,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,5967.470886230469,40795.10382080078,34149.977294921875,1472.1815795898438,16565350400,4294963200,3111489536,897024
199,1743513974124,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,5967.587829589844,40795.16583251953,34149.99932861328,1472.1815795898438,16565350400,4294963200,3111489536,897024
200,1743513974324,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,0,0,0,0,0,0,0,5,4.761904716491699,0,0,9.523809432983398,5967.713195800781,40795.371154785156,34150.116943359375,1472.1904907226563,16565350400,4294963200,3048574976,897024
200,1743513974525,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,5967.840637207031,40795.49890136719,34150.17150878906,1472.1904907226563,16565350400,4294963200,3048574976,897024
200,1743513974725,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,5967.957092285156,40795.58703613281,34150.215087890625,1472.1904907226563,16565350400,4294963200,3048574976,897024
200,1743513974926,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,0,0,0,5,0,0,0,0,5,0,0,0,5968.085266113281,40795.719482421875,34150.269287109375,1472.197509765625,16565350400,4294963200,3048574976,897024
200,1743513975127,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,5968.2020263671875,40795.775146484375,34150.28729248047,1472.197509765625,16565350400,4294963200,3048574976,897024
200,1743513975327,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,20,10.526315689086914,5.263157844543457,4.761904716491699,5,14.285715103149414,0,9.523809432983398,25,0,0,0,5968.358459472656,40797.697509765625,34152.05596923828,1472.20556640625,16565350400,4294963200,3024015360,897024
199,1743513975527,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,5968.482727050781,40797.798095703125,34152.09442138672,1472.20556640625,16565350400,4294963200,3024019456,897024
199,1743513975727,1000,1000,1000,999,800,800,1000,999,800,800,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,5968.597412109375,40797.85949707031,34152.120056152344,1472.20556640625,16565350400,4294963200,3024019456,897024
