Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743523475823,1000,1000,1000,999,1000,800,800,999,800,800,999,1000,11.627907752990723,4.761904716491699,4.651162624359131,4.761904716491699,2.4390242099761963,4.651162624359131,7.500000476837158,4.761904716491699,2.3809523582458496,4.651162624359131,2.3809523582458496,4.761904716491699,12744.732543945313,82633.52746582031,69399.58081054688,3537.602294921875,16565350400,4294963200,2767413248,897024
199,1743523475823,1000,1000,1000,999,1000,800,800,999,800,800,999,1000,11.627907752990723,4.761904716491699,4.651162624359131,4.761904716491699,2.4390242099761963,4.651162624359131,7.500000476837158,4.761904716491699,2.3809523582458496,4.651162624359131,2.3809523582458496,4.761904716491699,12744.733215332031,82633.5307006836,69399.58306884766,3537.602294921875,16565350400,4294963200,2767413248,897024
200,1743523476023,1000,1000,1000,999,1000,800,800,999,800,800,999,1000,15.000000953674316,0,5.263157844543457,4.545454502105713,47.619049072265625,0,5,20,0,0,0,15.000000953674316,12744.896545410156,82636.89904785156,69402.73205566406,3537.602294921875,16565350400,4294963200,2836975616,897024
199,1743523476223,1000,1000,1000,999,1000,800,800,999,800,800,999,1000,26.3157901763916,5.263157844543457,23.809524536132813,63.15789031982422,15.789472579956055,42.85714340209961,14.285715103149414,14.285715103149414,5,10,57.142860412597656,35,12745.121887207031,82644.03881835938,69409.58685302734,3537.6294555664063,16565350400,4294963200,2916294656,897024
199,1743523476423,1000,1000,1000,999,1000,800,800,999,800,800,999,1000,30.000001907348633,20,65,21.052631378173828,38.095237731933594,25,10.526315689086914,11.111111640930176,20,16.666667938232422,60.000003814697266,25,12745.455688476563,82651.51318359375,69416.54724121094,3537.8477783203125,16565350400,4294963200,3046494208,897024
200,1743523476623,1000,1000,1000,999,1000,800,800,999,800,800,999,1000,19.047618865966797,19.047618865966797,10.526315689086914,19.047618865966797,25,11.111111640930176,10,10,10,14.285715103149414,68.42105102539063,10,12745.760314941406,82656.552734375,69421.18756103516,3537.9920654296875,16565350400,4294963200,3114844160,897024
200,1743523476824,1000,1000,1000,999,1000,800,800,999,800,800,999,1000,0,5.555555820465088,5,9.523809432983398,10.526315689086914,0,0,0,15.000000953674316,10,0,0,12745.940307617188,82657.05749511719,69421.45776367188,3538.0528564453125,16565350400,4294963200,3115102208,897024
200,1743523477024,1000,1000,1000,999,1000,800,800,999,800,800,999,1000,0,9.090909004211426,4.761904716491699,0,4.761904716491699,0,0,0,0,0,0,0,12746.072570800781,82657.21264648438,69421.52111816406,3538.0599365234375,16565350400,4294963200,3115102208,897024
199,1743523477225,1000,1000,1000,999,1000,800,800,999,800,800,999,1000,0,0,0,0,0,0,0,0,0,0,0,0,12746.192626953125,82657.28784179688,69421.54541015625,3538.0599365234375,16565350400,4294963200,3115102208,897024
200,1743523477425,1000,1000,1000,999,1000,800,800,999,800,800,999,1000,0,0,0,0,0,0,5.263157844543457,0,4.761904716491699,0,0,0,12746.309265136719,82657.4253540039,69421.62805175781,3538.0599365234375,16565350400,4294963200,3115102208,897024
