Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743521422811,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,7.692307949066162,7.894736289978027,2.5641026496887207,2.5641026496887207,2.5641026496887207,2.5641026496887207,5,2.5641026496887207,2.6315789222717285,2.5641026496887207,2.5641026496887207,5,11274.271179199219,73365.80981445313,61580.135498046875,3076.0995483398438,16565350400,4294963200,2742484992,897024
199,1743521422811,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,7.692307949066162,7.894736289978027,2.5641026496887207,2.5641026496887207,2.5641026496887207,2.5641026496887207,5,2.5641026496887207,2.6315789222717285,2.5641026496887207,2.5641026496887207,5,11274.271850585938,73365.81317138672,61580.138427734375,3076.0995483398438,16565350400,4294963200,2742484992,897024
200,1743521423011,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,25,9.523809432983398,9.523809432983398,61.904762268066406,5,0,0,4.761904716491699,0,0,10.526315689086914,11274.4345703125,73369.54650878906,61583.652404785156,3076.0995483398438,16565350400,4294963200,2811883520,897024
200,1743521423211,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,14.285715103149414,80,10.526315689086914,10.526315689086914,36.842105865478516,65,25,15.000000953674316,20,10,5.263157844543457,9.523809432983398,11274.677124023438,73377.03021240234,61590.82403564453,3076.1338500976563,16565350400,4294963200,2923479040,897024
199,1743521423411,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,15.000000953674316,63.15789031982422,21.052631378173828,26.3157901763916,23.809524536132813,30.000001907348633,15.000000953674316,21.052631378173828,55,31.57894515991211,23.809524536132813,15.789472579956055,11275.017211914063,73384.38354492188,61597.71875,3076.3005981445313,16565350400,4294963200,3062943744,897024
199,1743521423611,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,10,19.047618865966797,19.047618865966797,21.052631378173828,25,10,15.000000953674316,45.45454788208008,10,15.000000953674316,10,11275.296630859375,73388.33410644531,61601.295471191406,3076.4280395507813,16565350400,4294963200,3106496512,897024
200,1743521423811,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,9.523809432983398,5.263157844543457,5,0,0,5,0,0,0,0,0,5,11275.455383300781,73388.69116210938,61601.475524902344,3076.4614868164063,16565350400,4294963200,3106496512,897024
200,1743521424012,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,0,0,0,9.090909004211426,5,0,0,0,0,0,0,11275.587646484375,73388.84326171875,61601.53674316406,3076.4683227539063,16565350400,4294963200,3106496512,897024
199,1743521424212,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,11275.704467773438,73388.90673828125,61601.55993652344,3076.4683227539063,16565350400,4294963200,3106426880,897024
200,1743521424413,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,5,0,4.761904716491699,0,5,0,0,0,5,4.761904716491699,0,11275.82958984375,73389.16229248047,61601.72784423828,3076.4758911132813,16565350400,4294963200,3106426880,897024
200,1743521424613,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,11275.956909179688,73389.29272460938,61601.78485107422,3076.4758911132813,16565350400,4294963200,3106426880,897024
200,1743521424814,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,11276.072509765625,73389.37615966797,61601.827392578125,3076.4758911132813,16565350400,4294963200,3106426880,897024
200,1743521425014,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,11276.200317382813,73389.49865722656,61601.874755859375,3076.482177734375,16565350400,4294963200,3106426880,897024
199,1743521425215,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,11276.318359375,73389.56616210938,61601.89880371094,3076.482177734375,16565350400,4294963200,3106426880,897024
200,1743521425415,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,4.761904716491699,0,0,15.789472579956055,10,0,14.285715103149414,5,5,9.523809432983398,27.272727966308594,11276.472717285156,73391.28161621094,61603.46990966797,3076.4913330078125,16565350400,4294963200,3035144192,897024
200,1743521425615,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,11276.601440429688,73391.4107055664,61603.52209472656,3076.4913330078125,16565350400,4294963200,3035115520,897024
199,1743521425816,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,0,0,0,0,0,0,0,0,0,0,0,11276.715148925781,73391.47967529297,61603.553649902344,3076.4913330078125,16565350400,4294963200,3035115520,897024
200,1743521426016,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,0,0,9.523809432983398,0,5,0,0,0,0,0,0,11276.842224121094,73391.60125732422,61603.60217285156,3076.498291015625,16565350400,4294963200,3035115520,897024
200,1743521426216,3875,4027,1825,1000,3126,2715,800,2564,1000,800,800,800,0,5.263157844543457,0,0,0,0,0,0,0,0,0,0,11276.965881347656,73391.96575927734,61603.874450683594,3076.498291015625,16565350400,4294963200,3035115520,897024
