Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743514163227,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,11.904762268066406,4.761904716491699,8.88888931274414,6.818181991577148,6.818181991577148,6.818181991577148,6.818181991577148,4.651162624359131,6.976744651794434,4.651162624359131,6.818181991577148,13.953489303588867,6099.1265869140625,41363.09753417969,34611.642822265625,1496.4808349609375,16565350400,4294963200,2732097536,897024
199,1743514163227,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,11.904762268066406,4.761904716491699,8.88888931274414,6.818181991577148,6.818181991577148,6.818181991577148,6.818181991577148,4.651162624359131,6.976744651794434,4.651162624359131,6.818181991577148,13.953489303588867,6099.127197265625,41363.100524902344,34611.64489746094,1496.4808349609375,16565350400,4294963200,2732097536,897024
199,1743514163427,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,14.285715103149414,0,15.789472579956055,0,0,75,0,0,0,0,10,6099.288330078125,41366.16326904297,34614.488342285156,1496.4808349609375,16565350400,4294963200,2802995200,897024
199,1743514163628,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,9.523809432983398,22.22222328186035,21.052631378173828,25,14.285715103149414,47.36842346191406,60.000003814697266,5,15.000000953674316,5,30.000001907348633,30.000001907348633,6099.502685546875,41373.20080566406,34621.25762939453,1496.4961547851563,16565350400,4294963200,2881048576,897024
199,1743514163828,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,9.523809432983398,22.22222328186035,21.052631378173828,25,14.285715103149414,47.36842346191406,60.000003814697266,5,15.000000953674316,5,30.000001907348633,30.000001907348633,6099.843322753906,41380.935791015625,34628.47882080078,1496.7015380859375,16565350400,4294963200,3020701696,897024
200,1743514164028,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,21.62162208557129,17.5,43.90243911743164,17.5,26.3157901763916,12.5,25.641027450561523,17.5,57.5,12.195121765136719,12.5,20.512821197509766,6100.146423339844,41386.014221191406,34633.161865234375,1496.8468627929688,16565350400,4294963200,3098419200,897024
200,1743514164228,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,5.263157844543457,14.285715103149414,10,5.263157844543457,9.523809432983398,5,19.047618865966797,0,0,0,0,5,6100.327087402344,41386.502685546875,34633.426025390625,1496.9059448242188,16565350400,4294963200,3098419200,897024
200,1743514164428,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,5,4.761904716491699,0,0,0,0,0,0,0,0,0,6100.460876464844,41386.66375732422,34633.49377441406,1496.9132080078125,16565350400,4294963200,3098419200,897024
199,1743514164629,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,0,0,0,0,0,0,0,0,0,0,0,6100.5797119140625,41386.73156738281,34633.51495361328,1496.9132080078125,16565350400,4294963200,3098419200,897024
200,1743514164829,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,0,0,0,0,0,0,5.263157844543457,0,5,0,0,6100.6968994140625,41386.874084472656,34633.59814453125,1496.9132080078125,16565350400,4294963200,3098419200,897024
199,1743514165030,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,4.761904716491699,4.761904716491699,0,0,0,0,5,0,0,0,0,0,6100.83203125,41387.07940673828,34633.698791503906,1496.9205932617188,16565350400,4294963200,3098419200,897024
200,1743514165230,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,0,0,0,0,0,0,0,0,0,0,5,6100.949157714844,41387.178466796875,34633.7490234375,1496.9205932617188,16565350400,4294963200,3098419200,897024
200,1743514165430,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,6101.07470703125,41387.397521972656,34633.89074707031,1496.9323120117188,16565350400,4294963200,3035504640,897024
200,1743514165631,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,0,0,0,0,0,0,0,0,0,0,0,6101.195068359375,41387.478759765625,34633.92156982422,1496.9323120117188,16565350400,4294963200,3035504640,897024
200,1743514165831,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,5,21.052631378173828,0,0,9.523809432983398,9.090909004211426,10,0,0,5,20,6101.341857910156,41389.03924560547,34635.372131347656,1496.9323120117188,16565350400,4294963200,3045920768,897024
200,1743514166031,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,0,0,0,0,5,0,0,5,0,0,0,6101.474426269531,41389.20166015625,34635.439392089844,1496.9395751953125,16565350400,4294963200,3046166528,897024
200,1743514166232,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,0,0,0,0,0,0,0,0,0,0,0,6101.589416503906,41389.26885986328,34635.470458984375,1496.9395751953125,16565350400,4294963200,3041423360,897024
200,1743514166432,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,0,6101.716369628906,41389.39587402344,34635.52478027344,1496.94677734375,16565350400,4294963200,3041423360,897024
200,1743514166633,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,6101.835510253906,41389.46325683594,34635.546936035156,1496.94677734375,16565350400,4294963200,3041423360,897024
200,1743514166833,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,6101.949523925781,41389.52844238281,34635.57745361328,1496.94677734375,16565350400,4294963200,3041423360,897024
200,1743514167034,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,0,0,0,0,0,0,0,4.761904716491699,0,0,4.761904716491699,6102.0809326171875,41389.66583251953,34635.63244628906,1496.9537353515625,16565350400,4294963200,3041423360,897024
200,1743514167234,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,5.263157844543457,0,0,0,0,0,0,0,0,0,0,6102.2001953125,41389.98303222656,34635.90155029297,1496.9537353515625,16565350400,4294963200,3041390592,897024
200,1743514167435,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,4.761904716491699,0,0,0,0,4.761904716491699,0,0,0,0,0,6102.327575683594,41390.13146972656,34635.978576660156,1496.9609985351563,16565350400,4294963200,3035455488,897024
200,1743514167635,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,0,0,0,0,0,0,0,0,0,0,0,6102.445617675781,41390.22998046875,34636.02795410156,1496.9609985351563,16565350400,4294963200,3035455488,897024
200,1743514167835,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,0,10,5,0,0,5,0,0,0,10,0,0,6102.590881347656,41391.19219970703,34636.86883544922,1497.000244140625,16565350400,4294963200,3058855936,897024
199,1743514168035,999,1000,1000,1000,1000,800,800,800,1000,800,1000,999,10,35,10.526315689086914,9.523809432983398,35,15.000000953674316,30.000001907348633,10,15.789472579956055,14.285715103149414,23.809524536132813,0,6102.852722167969,41395.89434814453,34641.06506347656,1497.2321166992188,16565350400,4294963200,3094020096,897024
