Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743518798377,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,10,7.500000476837158,5.128205299377441,5,5.128205299377441,12.5,5,7.500000476837158,5,5,7.500000476837158,7.317072868347168,9404.427612304688,61816.37274169922,51861.85906982422,2493.3965454101563,16565350400,4294963200,2716508160,897024
199,1743518798378,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,10,7.500000476837158,5.128205299377441,5,5.128205299377441,12.5,5,7.500000476837158,5,5,7.500000476837158,7.317072868347168,9404.428405761719,61816.37561035156,51861.861572265625,2493.3965454101563,16565350400,4294963200,2716508160,897024
199,1743518798578,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,10,5.263157844543457,45,0,4.761904716491699,30.000001907348633,0,0,0,10,0,0,9404.589721679688,61819.39617919922,51864.661193847656,2493.3965454101563,16565350400,4294963200,2804695040,897024
199,1743518798778,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,50,30.000001907348633,42.85714340209961,35,10,26.3157901763916,30.000001907348633,23.809524536132813,5,10,15.000000953674316,14.285715103149414,9404.79248046875,61825.82586669922,51870.83947753906,2493.40185546875,16565350400,4294963200,2880483328,897024
200,1743518798978,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,50,30.000001907348633,42.85714340209961,35,10,26.3157901763916,30.000001907348633,23.809524536132813,5,10,15.000000953674316,14.285715103149414,9405.123779296875,61833.691955566406,51878.191345214844,2493.6144409179688,16565350400,4294963200,3023388672,897024
200,1743518799178,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,10.526315689086914,10,16.666667938232422,26.3157901763916,9.523809432983398,15.789472579956055,65,5.263157844543457,5,21.052631378173828,20,25,9405.430480957031,61838.51916503906,51882.616455078125,2493.7471923828125,16565350400,4294963200,3089833984,897024
199,1743518799379,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,10.526315689086914,10,0,9.523809432983398,10,15.000000953674316,0,0,0,4.761904716491699,10,10.526315689086914,9405.616882324219,61839.018798828125,51882.883728027344,2493.809814453125,16565350400,4294963200,3090337792,897024
200,1743518799579,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,5,0,0,0,0,0,0,0,0,0,4.761904716491699,9405.75,61839.17315673828,51882.946716308594,2493.8165283203125,16565350400,4294963200,3090337792,897024
199,1743518799779,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,0,0,0,0,9405.870910644531,61839.26922607422,51882.98474121094,2493.8165283203125,16565350400,4294963200,3090337792,897024
200,1743518799979,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,9.523809432983398,0,0,5,0,9405.986877441406,61839.39025878906,51883.05383300781,2493.8165283203125,16565350400,4294963200,3090337792,897024
200,1743518800180,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,4.761904716491699,0,0,0,5,0,9.090909004211426,0,0,0,4.761904716491699,0,9406.12158203125,61839.589599609375,51883.14782714844,2493.8233642578125,16565350400,4294963200,3090337792,897024
200,1743518800380,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,0,0,0,0,9406.239196777344,61839.69384765625,51883.20397949219,2493.8233642578125,16565350400,4294963200,3090337792,897024
200,1743518800581,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,9406.363586425781,61839.887939453125,51883.327087402344,2493.8334350585938,16565350400,4294963200,3014176768,897024
200,1743518800781,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,0,0,0,0,9406.484130859375,61839.95721435547,51883.347717285156,2493.8334350585938,16565350400,4294963200,3014176768,897024
200,1743518800982,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,5.263157844543457,15.000000953674316,4.761904716491699,0,9.523809432983398,15.000000953674316,0,0,4.761904716491699,25,4.761904716491699,0,9406.630737304688,61841.502990722656,51884.793701171875,2493.8334350585938,16565350400,4294963200,3023564800,897024
199,1743518801182,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,4.761904716491699,0,0,0,0,0,0,0,0,0,0,9.090909004211426,9406.762634277344,61841.727966308594,51884.89880371094,2493.8539428710938,16565350400,4294963200,3022569472,897024
199,1743518801382,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,0,0,0,0,9406.877502441406,61841.79315185547,51884.93048095703,2493.8539428710938,16565350400,4294963200,3022573568,897024
199,1743518801583,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,4.761904716491699,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,9407.002624511719,61841.963317871094,51885.00323486328,2493.8807373046875,16565350400,4294963200,3016347648,897024
200,1743518801783,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,0,0,0,0,9407.124328613281,61842.07501220703,51885.02911376953,2493.8807373046875,16565350400,4294963200,3016347648,897024
200,1743518801983,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,0,0,0,0,9407.23876953125,61842.14050292969,51885.05975341797,2493.8807373046875,16565350400,4294963200,3014340608,897024
200,1743518802184,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,0,0,0,0,9407.369079589844,61842.280334472656,51885.11474609375,2493.8875732421875,16565350400,4294963200,3014340608,897024
200,1743518802384,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,9407.483093261719,61842.33264160156,51885.13537597656,2493.8875732421875,16565350400,4294963200,3014340608,897024
200,1743518802585,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,0,0,0,0,9407.607727050781,61842.435974121094,51885.17791748047,2493.894287109375,16565350400,4294963200,3013722112,897024
199,1743518802785,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,5,0,0,0,0,0,0,9407.728271484375,61842.51281738281,51885.202575683594,2493.894287109375,16565350400,4294963200,3013722112,897024
200,1743518802985,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,5,0,0,0,0,0,0,9407.85400390625,61842.694274902344,51885.328125,2493.9118041992188,16565350400,4294963200,3018448896,897024
200,1743518803185,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,7.692307949066162,7.317072868347168,4.878048419952393,5.128205299377441,5.128205299377441,7.692307949066162,19.51219367980957,15.000000953674316,2.5641026496887207,14.634145736694336,7.317072868347168,17.5,9408.117858886719,61848.14483642578,51890.258361816406,2494.1447143554688,16565350400,4294963200,3120283648,897024
200,1743518803386,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,30.000001907348633,0,10,0,0,15.000000953674316,5,0,10,0,0,25,9408.323608398438,61849.10803222656,51890.88604736328,2494.2598876953125,16565350400,4294963200,3128541184,897024
200,1743518803586,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,4.761904716491699,4.761904716491699,0,0,0,0,4.761904716491699,9408.460693359375,61849.354919433594,51890.992248535156,2494.273193359375,16565350400,4294963200,3128541184,897024
200,1743518803787,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,9408.577331542969,61849.44775390625,51891.04168701172,2494.273193359375,16565350400,4294963200,3128541184,897024
199,1743518803987,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,9408.693115234375,61849.51330566406,51891.07165527344,2494.273193359375,16565350400,4294963200,3128541184,897024
200,1743518804187,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,9408.817260742188,61849.82653808594,51891.31903076172,2494.273193359375,16565350400,4294963200,3128541184,897024
200,1743518804388,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,2.4390242099761963,0,0,0,2.5641026496887207,0,0,4.878048419952393,9408.935485839844,61849.93780517578,51891.384033203125,2494.273193359375,16565350400,4294963200,3128541184,897024
200,1743518804589,2459,1536,800,800,800,800,1856,1606,800,2134,2040,3490,0,0,0,0,0,0,0,0,0,0,0,0,9409.050109863281,61850.00231933594,51891.41442871094,2494.273193359375,16565350400,4294963200,3128541184,897024
