Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743518840763,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,11.36363697052002,4.545454502105713,6.6666669845581055,6.6666669845581055,8.88888931274414,6.818181991577148,6.818181991577148,13.953489303588867,4.545454502105713,6.6666669845581055,8.88888931274414,4.545454502105713,9432.443481445313,61996.26708984375,52018.73028564453,2498.677978515625,16565350400,4294963200,2720641024,897024
199,1743518840764,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,11.36363697052002,4.545454502105713,6.6666669845581055,6.6666669845581055,8.88888931274414,6.818181991577148,6.818181991577148,13.953489303588867,4.545454502105713,6.6666669845581055,8.88888931274414,4.545454502105713,9432.444274902344,61996.27014160156,52018.73205566406,2498.677978515625,16565350400,4294963200,2720641024,897024
199,1743518840963,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,45,4.761904716491699,20,20,0,23.809524536132813,0,20,0,0,0,0,9432.614685058594,62001.26135253906,52023.50018310547,2498.6810913085938,16565350400,4294963200,2801561600,897024
200,1743518841164,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,23.809524536132813,65,19.047618865966797,9.523809432983398,40,10,20,15.000000953674316,25,25,14.285715103149414,52.38095474243164,9432.865356445313,62008.616455078125,52030.49694824219,2498.755859375,16565350400,4294963200,2904092672,897024
200,1743518841364,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,10.526315689086914,20,31.57894515991211,16.666667938232422,21.052631378173828,15.000000953674316,70,20,40,23.809524536132813,21.052631378173828,40,9433.207214355469,62016.027587890625,52037.45001220703,2498.91748046875,16565350400,4294963200,3027931136,897024
200,1743518841564,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,10.526315689086914,5.263157844543457,10,19.047618865966797,15.000000953674316,5.263157844543457,25,31.57894515991211,10,10.526315689086914,15.000000953674316,15.789472579956055,9433.482666015625,62019.90637207031,52040.98260498047,2499.0360717773438,16565350400,4294963200,3077255168,897024
200,1743518841764,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,0,0,5,10,0,4.761904716491699,0,0,5,0,9.523809432983398,9.523809432983398,9433.640197753906,62020.22039794922,52041.13800048828,2499.0693359375,16565350400,4294963200,3077255168,897024
200,1743518841965,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,0,0,0,0,0,4.761904716491699,0,0,0,0,0,5,9433.773132324219,62020.378173828125,52041.20526123047,2499.0760498046875,16565350400,4294963200,3077255168,897024
199,1743518842165,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,0,0,0,0,0,0,0,0,0,0,0,0,9433.890930175781,62020.44384765625,52041.22766113281,2499.0760498046875,16565350400,4294963200,3077255168,897024
200,1743518842366,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,0,4.761904716491699,0,0,0,0,0,4.761904716491699,0,0,4.761904716491699,0,9434.015258789063,62020.69580078125,52041.406311035156,2499.0823364257813,16565350400,4294963200,3045797888,897024
200,1743518842566,1000,1000,1000,800,999,800,1000,1000,800,800,999,1000,0,0,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,9434.143188476563,62020.83319091797,52041.463806152344,2499.0836181640625,16565350400,4294963200,3045797888,897024
