Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743690074478,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,11.36363697052002,9.090909004211426,6.6666669845581055,8.88888931274414,9.090909004211426,4.761904716491699,9.090909004211426,4.545454502105713,6.818181991577148,6.818181991577148,11.627907752990723,6.818181991577148,1510.4720458984375,11450.709106445313,7209.656494140625,189.56671142578125,16565338112,4294963200,2422263808,0
199,1743690074478,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,11.36363697052002,9.090909004211426,6.6666669845581055,8.88888931274414,9.090909004211426,4.761904716491699,9.090909004211426,4.545454502105713,6.818181991577148,6.818181991577148,11.627907752990723,6.818181991577148,1510.4730834960938,11450.715637207031,7209.659973144531,189.56671142578125,16565338112,4294963200,2422263808,0
200,1743690074678,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,5,14.285715103149414,25,25,5.263157844543457,14.285715103149414,9.523809432983398,55,5,25,0,0,1510.6581420898438,11456.691101074219,7215.099060058594,189.57061767578125,16565338112,4294963200,2503417856,0
199,1743690074878,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,21.052631378173828,42.105262756347656,15.789472579956055,10.526315689086914,14.285715103149414,5,15.789472579956055,38.095237731933594,5.263157844543457,70,10,33.333335876464844,1510.8907470703125,11464.176208496094,7221.997314453125,189.597900390625,16565338112,4294963200,2560565248,0
200,1743690075078,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,15.000000953674316,10.526315689086914,20,77.2727279663086,15.789472579956055,55,30.000001907348633,40,9.523809432983398,33.333335876464844,10.526315689086914,21.052631378173828,1511.1295166015625,11471.594970703125,7228.815185546875,189.641357421875,16565338112,4294963200,2584485888,0
200,1743690075278,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,21.052631378173828,10,10,31.57894515991211,5,35,25,5.263157844543457,5.263157844543457,20,26.3157901763916,5,1511.4149780273438,11477.543334960938,7234.029052734375,189.82305908203125,16565338112,4294963200,2731495424,0
199,1743690075479,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,5,5,0,0,0,31.81818199157715,10,1511.5939331054688,11479.309326171875,7235.2215576171875,189.8868408203125,16565338112,4294963200,2752352256,0
200,1743690075679,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,4.761904716491699,0,4.761904716491699,0,0,4.761904716491699,0,5,0,15.000000953674316,15.000000953674316,1511.7239990234375,11479.971618652344,7235.415100097656,189.89642333984375,16565338112,4294963200,2737106944,0
200,1743690075879,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,1511.8507690429688,11480.446960449219,7235.454650878906,189.89642333984375,16565338112,4294963200,2737106944,0
199,1743690076080,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,0,5,0,0,0,0,0,1511.9654541015625,11480.914978027344,7235.5113525390625,189.89642333984375,16565338112,4294963200,2737106944,0
200,1743690076280,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,4.761904716491699,5,0,0,0,0,0,0,1512.0986938476563,11481.605895996094,7235.752502441406,189.904541015625,16565338112,4294963200,2751787008,0
199,1743690076480,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,1512.2193603515625,11482.084899902344,7235.809143066406,189.904541015625,16565338112,4294963200,2751787008,0
200,1743690076681,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,5,0,0,0,0,0,0,1512.3381958007813,11482.587280273438,7235.892822265625,189.91259765625,16565338112,4294963200,2720329728,0
200,1743690076881,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,4.761904716491699,0,0,0,0,0,4.761904716491699,0,0,0,0,0,1512.4652099609375,11483.075012207031,7235.93896484375,189.91259765625,16565338112,4294963200,2720329728,0
200,1743690077082,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,0,0,0,0,0,0,0,1512.5787963867188,11483.492980957031,7235.9571533203125,189.91259765625,16565338112,4294963200,2720329728,0
200,1743690077282,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,25,4.761904716491699,0,0,5,20,5,14.285715103149414,0,0,5,0,1512.7396240234375,11485.485961914063,7237.461853027344,189.9212646484375,16565338112,4294963200,2736939008,0
199,1743690077482,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,4.761904716491699,0,0,0,0,4.761904716491699,0,1512.8597412109375,11485.951843261719,7237.507263183594,189.9212646484375,16565338112,4294963200,2736939008,0
200,1743690077683,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,0,4.761904716491699,0,0,9.523809432983398,0,0,1512.9763793945313,11486.462707519531,7237.60302734375,189.9302978515625,16565338112,4294963200,2736939008,0
200,1743690077883,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,5,0,0,0,0,0,0,0,0,0,0,1513.1031494140625,11486.941650390625,7237.6392822265625,189.9302978515625,16565338112,4294963200,2736660480,0
200,1743690078084,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,0,0,0,0,0,0,0,1513.2161865234375,11487.356140136719,7237.655029296875,189.9302978515625,16565338112,4294963200,2736660480,0
199,1743690078284,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,0,0,0,0,0,5,4.761904716491699,1513.34423828125,11487.8671875,7237.7208251953125,189.93707275390625,16565338112,4294963200,2732101632,0
200,1743690078484,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,0,0,0,0,0,0,0,1513.4628295898438,11488.318786621094,7237.7596435546875,189.93707275390625,16565338112,4294963200,2724933632,0
200,1743690078685,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,0,0,0,0,0,0,0,0,1513.5813598632813,11488.774963378906,7237.7977294921875,189.94305419921875,16565338112,4294963200,2724933632,0
199,1743690078885,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,5,0,4.761904716491699,0,0,0,0,0,0,0,0,0,1513.7072143554688,11489.244201660156,7237.829284667969,189.94305419921875,16565338112,4294963200,2724933632,0
200,1743690079085,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,5,0,4.761904716491699,0,0,0,0,0,0,0,0,0,1513.8428344726563,11490.636291503906,7238.802917480469,189.94305419921875,16565338112,4294963200,2762940416,0
199,1743690079286,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,10,5,0,10.256410598754883,2.6315789222717285,5.128205299377441,11.904762268066406,10.256410598754883,19.51219367980957,15.000000953674316,15.000000953674316,5,1514.0982055664063,11495.63330078125,7243.167785644531,190.02276611328125,16565338112,4294963200,2848059392,0
199,1743690079486,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,10.526315689086914,5,0,5,9.090909004211426,4.761904716491699,35,10,10,10,10.526315689086914,0,1514.2947998046875,11496.579650878906,7243.516906738281,190.099609375,16565338112,4294963200,2849337344,0
199,1743690079686,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,10.526315689086914,5,0,5,9.090909004211426,4.761904716491699,35,10,10,10,10.526315689086914,0,1514.4501953125,11497.271423339844,7243.684631347656,190.1314697265625,16565338112,4294963200,2849595392,0
199,1743690079886,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,2.5,2.5,0,0,2.5641026496887207,2.5,5.128205299377441,5,2.4390242099761963,9.756096839904785,5,7.317072868347168,1514.6046142578125,11497.98046875,7243.878967285156,190.16314697265625,16565338112,4294963200,2849595392,0
199,1743690080086,1812,2519,800,3839,800,3652,3715,800,800,800,3196,800,0,0,0,0,5,0,5,5,0,10,4.761904716491699,5,1514.7590942382813,11498.653503417969,7244.0418701171875,190.194580078125,16565338112,4294963200,2849595392,0
