Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743690307170,930,2945,1820,800,799,3157,800,882,800,800,3789,800,7.317072868347168,2.4390242099761963,10,4.761904716491699,2.4390242099761963,4.761904716491699,2.4390242099761963,4.761904716491699,4.761904716491699,4.651162624359131,7.142857551574707,6.976744651794434,1673.1801147460938,12773.919982910156,7992.1697998046875,208.9366455078125,16565338112,4294963200,2435624960,0
199,1743690307170,930,2945,1820,800,799,3157,800,882,800,800,3789,800,7.317072868347168,2.4390242099761963,10,4.761904716491699,2.4390242099761963,4.761904716491699,2.4390242099761963,4.761904716491699,4.761904716491699,4.651162624359131,7.142857551574707,6.976744651794434,1673.1808471679688,12773.9248046875,7992.17236328125,208.9366455078125,16565338112,4294963200,2435891200,0
199,1743690307370,930,2945,1820,800,799,3157,800,882,800,800,3789,800,19.047618865966797,4.761904716491699,23.809524536132813,28.571430206298828,9.523809432983398,0,23.809524536132813,30.000001907348633,5,25,10,0,1673.36474609375,12779.968811035156,7997.6915283203125,208.94158935546875,16565338112,4294963200,2533224448,0
200,1743690307570,930,2945,1820,800,799,3157,800,882,800,800,3789,800,10,19.047618865966797,10,15.789472579956055,21.052631378173828,9.523809432983398,75,38.095237731933594,10.526315689086914,15.789472579956055,80,5,1673.6044311523438,12787.8994140625,8004.9871826171875,208.9810791015625,16565338112,4294963200,2582839296,0
199,1743690307770,930,2945,1820,800,799,3157,800,882,800,800,3789,800,15.789472579956055,15.789472579956055,10.526315689086914,15.000000953674316,100,5.555555820465088,100,15.000000953674316,30.000001907348633,10,15.789472579956055,19.047618865966797,1673.8604736328125,12796.069213867188,8012.5615234375,209.01190185546875,16565338112,4294963200,2617085952,0
200,1743690307971,930,2945,1820,800,799,3157,800,882,800,800,3789,800,5.263157844543457,15.789472579956055,5.263157844543457,5,30.000001907348633,14.285715103149414,5,30.000001907348633,9.523809432983398,9.523809432983398,28.571430206298828,0,1674.1107788085938,12800.100463867188,8015.9598388671875,209.0980224609375,16565338112,4294963200,2716057600,0
199,1743690308171,930,2945,1820,800,799,3157,800,882,800,800,3789,800,15.000000953674316,4.761904716491699,4.761904716491699,5,0,0,0,26.3157901763916,0,0,0,0,1674.285888671875,12801.27783203125,8016.598815917969,209.1346435546875,16565338112,4294963200,2741481472,0
199,1743690308371,930,2945,1820,800,799,3157,800,882,800,800,3789,800,10.526315689086914,0,0,0,0,4.761904716491699,0,10,0,0,0,4.761904716491699,1674.4155883789063,12801.938171386719,8016.790710449219,209.145751953125,16565338112,4294963200,2746658816,0
200,1743690308571,930,2945,1820,800,799,3157,800,882,800,800,3789,800,0,0,0,0,0,0,0,0,0,0,0,0,1674.54150390625,12802.397827148438,8016.815490722656,209.145751953125,16565338112,4294963200,2746658816,0
199,1743690308772,930,2945,1820,800,799,3157,800,882,800,800,3789,800,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,1674.6572265625,12802.940246582031,8016.945739746094,209.145751953125,16565338112,4294963200,2746916864,0
199,1743690308972,930,2945,1820,800,799,3157,800,882,800,800,3789,800,4.761904716491699,0,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,0,1674.7921752929688,12803.679260253906,8017.2293701171875,209.155517578125,16565338112,4294963200,2751111168,0
200,1743690309172,930,2945,1820,800,799,3157,800,882,800,800,3789,800,0,4.761904716491699,4.761904716491699,0,0,0,0,0,0,0,0,0,1674.9107055664063,12804.127197265625,8017.262512207031,209.155517578125,16565338112,4294963200,2751111168,0
