Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743688720224,1817,3831,800,800,2781,800,2783,3344,800,800,3516,3152,10.8695650100708,13.636363983154297,8.88888931274414,4.44444465637207,6.6666669845581055,6.6666669845581055,6.818181991577148,6.5217390060424805,4.44444465637207,4.545454502105713,6.5217390060424805,6.5217390060424805,561.1259155273438,3848.148681640625,2765.8665161132813,76.20977783203125,16565338112,4294963200,2419822592,0
199,1743688720225,1817,3831,800,800,2781,800,2783,3344,800,800,3516,3152,10.8695650100708,13.636363983154297,8.88888931274414,4.44444465637207,6.6666669845581055,6.6666669845581055,6.818181991577148,6.5217390060424805,4.44444465637207,4.545454502105713,6.5217390060424805,6.5217390060424805,561.1273803710938,3848.1534423828125,2765.8694458007813,76.20977783203125,16565338112,4294963200,2419822592,0
200,1743688720425,1817,3831,800,800,2781,800,2783,3344,800,800,3516,3152,10,47.619049072265625,10,4.761904716491699,30.000001907348633,15.000000953674316,4.761904716491699,36.842105865478516,0,0,0,5,561.30810546875,3853.9750366210938,2771.1716918945313,76.21337890625,16565338112,4294963200,2516938752,0
200,1743688720625,1817,3831,800,800,2781,800,2783,3344,800,800,3516,3152,26.3157901763916,20,95.45454406738281,5,9.523809432983398,14.285715103149414,0,19.047618865966797,36.842105865478516,50,15.789472579956055,10.526315689086914,561.547607421875,3861.6444702148438,2778.2412109375,76.247802734375,16565338112,4294963200,2576158720,0
199,1743688720825,1817,3831,800,800,2781,800,2783,3344,800,800,3516,3152,47.619049072265625,5.555555820465088,100,21.052631378173828,20,10.526315689086914,10,5.263157844543457,15.000000953674316,30.000001907348633,15.000000953674316,10.526315689086914,561.775390625,3868.81396484375,2784.8171997070313,76.2786865234375,16565338112,4294963200,2592440320,0
200,1743688721025,1817,3831,800,800,2781,800,2783,3344,800,800,3516,3152,11.111111640930176,10,47.36842346191406,10.526315689086914,10.526315689086914,28.571430206298828,30.000001907348633,15.000000953674316,10,20,5,35,562.0675659179688,3874.3639526367188,2789.72705078125,76.37261962890625,16565338112,4294963200,2734718976,0
199,1743688721225,1817,3831,800,800,2781,800,2783,3344,800,800,3516,3152,5,0,36.842105865478516,0,4.761904716491699,0,5.263157844543457,0,4.761904716491699,0,0,20,562.2555541992188,3875.6689453125,2790.4391479492188,76.44610595703125,16565338112,4294963200,2756202496,0
200,1743688721425,1817,3831,800,800,2781,800,2783,3344,800,800,3516,3152,0,0,18.18181800842285,4.761904716491699,0,0,0,0,0,0,0,10.526315689086914,562.396728515625,3876.3067626953125,2790.5895385742188,76.4677734375,16565338112,4294963200,2756706304,0
199,1743688721626,1817,3831,800,800,2781,800,2783,3344,800,800,3516,3152,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,562.5221557617188,3876.7666625976563,2790.6167602539063,76.46826171875,16565338112,4294963200,2756706304,0
200,1743688721826,1817,3831,800,800,2781,800,2783,3344,800,800,3516,3152,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,562.6378173828125,3877.3034057617188,2790.7444458007813,76.46826171875,16565338112,4294963200,2756706304,0
