Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743581743739,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,9.523809432983398,2.4390242099761963,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,2.4390242099761963,4.878048419952393,4.878048419952393,4.761904716491699,9.756096839904785,4.761904716491699,1655.258056640625,19115.946166992188,16059.828186035156,1270.7767333984375,16565354496,4294963200,3198996480,0
199,1743581743739,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,9.523809432983398,2.4390242099761963,4.761904716491699,4.761904716491699,4.761904716491699,4.761904716491699,2.4390242099761963,4.878048419952393,4.878048419952393,4.761904716491699,9.756096839904785,4.761904716491699,1655.2587280273438,19115.949584960938,16059.830932617188,1270.7767333984375,16565354496,4294963200,3198996480,0
200,1743581743939,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,20,23.809524536132813,10,0,14.285715103149414,38.095237731933594,0,9.523809432983398,0,4.761904716491699,5,10,1655.424560546875,19119.901245117188,16063.559509277344,1270.7816162109375,16565354496,4294963200,3283660800,0
199,1743581744139,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,20,15.789472579956055,35,5.263157844543457,15.000000953674316,15.000000953674316,5,42.105262756347656,61.904762268066406,5.555555820465088,80,10,1655.6693115234375,19127.6953125,16070.95947265625,1270.8740844726563,16565354496,4294963200,3397156864,0
199,1743581744339,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,27.77777862548828,14.285715103149414,42.105262756347656,20,15.789472579956055,25,47.619049072265625,20,40,23.809524536132813,55,25,1656.004638671875,19135.88702392578,16078.707092285156,1271.0406494140625,16565354496,4294963200,3494400000,0
200,1743581744539,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,27.77777862548828,14.285715103149414,42.105262756347656,20,15.789472579956055,25,47.619049072265625,20,40,23.809524536132813,55,25,1656.3168334960938,19141.89013671875,16084.266235351563,1271.179443359375,16565354496,4294963200,3566546944,0
199,1743581744740,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,10,15.384615898132324,17.073171615600586,9.756096839904785,10,12.5,10.256410598754883,7.500000476837158,28.205129623413086,12.5,12.820513725280762,9.756096839904785,1656.4890747070313,19142.46759033203,16084.625061035156,1271.2228393554688,16565354496,4294963200,3570663424,0
200,1743581744940,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,0,0,0,0,0,1656.6161499023438,19142.651245117188,16084.700866699219,1271.2305297851563,16565354496,4294963200,3570663424,0
199,1743581745141,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,0,0,0,0,0,1656.7317504882813,19142.72088623047,16084.725952148438,1271.2305297851563,16565354496,4294963200,3570663424,0
200,1743581745341,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,5,5,0,0,4.761904716491699,0,1656.8547973632813,19142.953552246094,16084.888244628906,1271.237060546875,16565354496,4294963200,3570663424,0
200,1743581745541,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,5,0,0,4.761904716491699,5,0,0,4.761904716491699,0,0,0,1656.9857177734375,19143.331970214844,16085.134338378906,1271.2376098632813,16565354496,4294963200,3570663424,0
200,1743581745741,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,0,0,0,0,0,1657.106689453125,19143.51348876953,16085.253784179688,1271.2376098632813,16565354496,4294963200,3570663424,0
199,1743581745942,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,4.761904716491699,0,0,5,0,0,0,0,0,0,0,0,1657.2330322265625,19143.695861816406,16085.310180664063,1271.2448120117188,16565354496,4294963200,3570663424,0
199,1743581746142,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,0,0,0,0,0,1657.3494262695313,19143.82781982422,16085.353515625,1271.2448120117188,16565354496,4294963200,3570663424,0
200,1743581746342,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,0,0,0,0,0,1657.5032958984375,19145.644104003906,16087.030090332031,1271.2506103515625,16565354496,4294963200,3557605376,0
200,1743581746543,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,10.256410598754883,0,10,5,2.5,2.5,2.5,0,0,4.761904716491699,4.878048419952393,4.878048419952393,1657.628173828125,19145.899536132813,16087.183776855469,1271.2565307617188,16565354496,4294963200,3515629568,0
199,1743581746743,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,1657.74267578125,19145.96124267578,16087.210693359375,1271.2565307617188,16565354496,4294963200,3515887616,0
200,1743581746944,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,4.761904716491699,0,0,4.761904716491699,0,0,0,0,0,0,0,0,1657.86767578125,19146.104125976563,16087.265991210938,1271.2639770507813,16565354496,4294963200,3515887616,0
199,1743581747144,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,0,0,0,0,0,1657.9832763671875,19146.17352294922,16087.290161132813,1271.2639770507813,16565354496,4294963200,3515887616,0
200,1743581747344,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,5,0,0,0,0,1658.1032104492188,19146.27880859375,16087.341430664063,1271.2698364257813,16565354496,4294963200,3515314176,0
200,1743581747545,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,1658.2251586914063,19146.413635253906,16087.389892578125,1271.2711181640625,16565354496,4294963200,3515314176,0
200,1743581747745,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,1658.339111328125,19146.46697998047,16087.412048339844,1271.2711181640625,16565354496,4294963200,3515314176,0
200,1743581747946,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,4.761904716491699,0,0,0,0,5,0,0,0,0,0,1658.465087890625,19146.649658203125,16087.47265625,1271.2783203125,16565354496,4294963200,3515314176,0
199,1743581748146,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,5,0,0,0,0,1658.5814208984375,19146.744873046875,16087.51806640625,1271.2783203125,16565354496,4294963200,3515314176,0
200,1743581748346,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,5,0,0,0,0,1658.7125244140625,19147.336181640625,16087.994140625,1271.3363037109375,16565354496,4294963200,3523293184,0
200,1743581748546,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,9.756096839904785,5.128205299377441,28.571430206298828,10,2.5,4.878048419952393,12.820513725280762,15.000000953674316,23.076923370361328,10,12.195121765136719,15.000000953674316,1658.985595703125,19153.85919189453,16094.137634277344,1271.44287109375,16565354496,4294963200,3702185984,0
200,1743581748746,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,5,63.15789031982422,0,0,0,9.523809432983398,4.761904716491699,100,0,0,5,1659.2107543945313,19159.988220214844,16099.861755371094,1271.6092529296875,16565354496,4294963200,3818250240,0
200,1743581748946,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,52.6315803527832,0,5,5,5,0,0,0,50,0,0,0,1659.4091796875,19164.835388183594,16104.260559082031,1271.8067016601563,16565354496,4294963200,3818561536,0
200,1743581749147,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,35,0,4.761904716491699,4.761904716491699,4.761904716491699,0,0,0,60.000003814697266,0,4.761904716491699,0,1659.5675659179688,19169.529357910156,16108.525634765625,1272.0121459960938,16565354496,4294963200,3818561536,0
200,1743581749347,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,50,0,0,5,5,0,0,4.761904716491699,0,0,52.6315803527832,0,1659.7249755859375,19173.946838378906,16112.512268066406,1272.2186279296875,16565354496,4294963200,3818561536,0
200,1743581749547,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,5,0,0,0,0,5,0,0,100,0,1659.8831176757813,19178.3642578125,16116.531188964844,1272.3961791992188,16565354496,4294963200,3818561536,0
200,1743581749747,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,0,0,0,100,0,1660.0402221679688,19182.984436035156,16120.778503417969,1272.54541015625,16565354496,4294963200,3818815488,0
200,1743581749947,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,0,0,0,0,0,0,0,4.761904716491699,100,0,1660.198486328125,19187.4609375,16124.857238769531,1272.7023315429688,16565354496,4294963200,3818065920,0
200,1743581750147,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,0,5,0,0,4.761904716491699,0,5,4.761904716491699,0,100,4.761904716491699,1660.3558349609375,19192.088134765625,16129.100769042969,1272.8655395507813,16565354496,4294963200,3818061824,0
200,1743581750347,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,9.523809432983398,65,9.523809432983398,0,5.263157844543457,23.809524536132813,10,5.263157844543457,5,28.571430206298828,5,1660.6016235351563,19196.955017089844,16133.329040527344,1273.2608642578125,16565354496,4294963200,3827965952,0
199,1743581750547,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,10,5,75,5,9.090909004211426,4.761904716491699,10,5,9.523809432983398,5,15.789472579956055,5,1660.85595703125,19201.44793701172,16136.976196289063,1273.8578491210938,16565354496,4294963200,3830288384,0
200,1743581750747,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,5,0,31.57894515991211,0,0,5.263157844543457,25,10,0,5,14.285715103149414,0,1661.0923461914063,19206.045043945313,16140.775756835938,1274.4215087890625,16565354496,4294963200,3830288384,0
200,1743581750947,1668,3596,1932,1684,800,1716,1768,800,800,1602,1719,3368,0,5,5,0,0,10,65,5,0,0,15.789472579956055,0,1661.3263549804688,19210.04315185547,16144.004455566406,1274.953125,16565354496,4294963200,3834200064,0
