Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743582181570,1524,1362,1711,4288,3113,4321,1000,1818,800,800,800,4384,11.36363697052002,4.651162624359131,4.651162624359131,9.302325248718262,2.3809523582458496,6.818181991577148,4.651162624359131,6.818181991577148,4.651162624359131,4.651162624359131,4.651162624359131,4.651162624359131,2039.4639892578125,24126.388305664063,20279.777404785156,1721.0030517578125,16565354496,4294963200,3240730624,0
199,1743582181570,1524,1362,1711,4288,3113,4321,1000,1818,800,800,800,4384,11.36363697052002,4.651162624359131,4.651162624359131,9.302325248718262,2.3809523582458496,6.818181991577148,4.651162624359131,6.818181991577148,4.651162624359131,4.651162624359131,4.651162624359131,4.651162624359131,2039.4646606445313,24126.391540527344,20279.779541015625,1721.0030517578125,16565354496,4294963200,3240730624,0
200,1743582181770,1524,1362,1711,4288,3113,4321,1000,1818,800,800,800,4384,0,0,10,21.052631378173828,4.761904716491699,5,52.38095474243164,0,9.523809432983398,10,0,15.000000953674316,2039.6299438476563,24130.24639892578,20283.422790527344,1721.007080078125,16565354496,4294963200,3313561600,0
200,1743582181970,1524,1362,1711,4288,3113,4321,1000,1818,800,800,800,4384,10,5.263157844543457,9.523809432983398,77.2727279663086,63.15789031982422,30.000001907348633,10,20,26.3157901763916,26.3157901763916,10,20,2039.8610229492188,24137.926513671875,20290.765380859375,1721.0672607421875,16565354496,4294963200,3392753664,0
200,1743582182170,1524,1362,1711,4288,3113,4321,1000,1818,800,800,800,4384,16.666667938232422,33.333335876464844,55,26.3157901763916,52.6315803527832,20,15.789472579956055,36.842105865478516,38.095237731933594,35,20,35,2040.2115478515625,24146.316162109375,20298.67010498047,1721.244384765625,16565354496,4294963200,3488436224,0
200,1743582182370,1524,1362,1711,4288,3113,4321,1000,1818,800,800,800,4384,20,28.571430206298828,57.894737243652344,15.000000953674316,19.047618865966797,21.052631378173828,14.285715103149414,15.000000953674316,25,25,10,15.000000953674316,2040.5269775390625,24152.186279296875,20304.090270996094,1721.3839111328125,16565354496,4294963200,3572707328,0
200,1743582182571,1524,1362,1711,4288,3113,4321,1000,1818,800,800,800,4384,5.263157844543457,5.263157844543457,0,5.263157844543457,14.285715103149414,5,10,0,5,0,10,0,2040.7012329101563,24152.6357421875,20304.3251953125,1721.4293823242188,16565354496,4294963200,3572793344,0
200,1743582182771,1524,1362,1711,4288,3113,4321,1000,1818,800,800,800,4384,0,0,0,0,0,0,0,0,0,0,0,0,2040.8290405273438,24152.818115234375,20304.39825439453,1721.4366455078125,16565354496,4294963200,3572793344,0
199,1743582182972,1524,1362,1711,4288,3113,4321,1000,1818,800,800,800,4384,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,2040.9429321289063,24152.874572753906,20304.41815185547,1721.4366455078125,16565354496,4294963200,3572793344,0
199,1743582183172,1524,1362,1711,4288,3113,4321,1000,1818,800,800,800,4384,0,0,0,0,0,0,5,0,5,5,0,0,2041.0676879882813,24153.08447265625,20304.54052734375,1721.4448852539063,16565354496,4294963200,3541336064,0
